Gender,10th Mark,12th Mark,hobbies,daily studing time,prefer to study in,Do you want pursue degree?,willingness to pursue a career based on their degree  ,Financial Status,part-time job
Male,79,65,Video Games,0 - 30 minute,Morning,No,50%,Bad,No
Female,70,80,Cinema,30 - 60 minute,Morning,Yes,75%,Bad,No
Male,69.5,61,Cinema,1 - 2 Hour,Anytime,Yes,50%,Bad,No
Female,70,59,Reading books,1 - 2 Hour,Anytime,No,50%,good,No
Male,40,65,Video Games,30 - 60 minute,Morning,Yes,25%,good,No
Female,90,75,Cinema,30 - 60 minute,Night,Yes,50%,good,No
Male,70,63,Reading books,1 - 2 Hour,Morning,Yes,75%,good,No
Male,61.6,61.67,Sports,1 - 2 Hour,Morning,Yes,50%,good,No
Male,88.2,67.5,Video Games,0 - 30 minute,Morning,Yes,75%,Bad,No
Male,60,65,Video Games,0 - 30 minute,Anytime,Yes,75%,good,No
Male,75,70,Video Games,1 - 2 Hour,Morning,Yes,75%,Bad,No
Female,60,55,Cinema,2 - 3 hour,Night,Yes,75%,Bad,No
Female,59,54,Reading books,30 - 60 minute,Morning,Yes,75%,good,No
Male,50,55,Cinema,0 - 30 minute,Anytime,Yes,75%,Awful,No
Male,89.5,69.7,Cinema,30 - 60 minute,Anytime,Yes,75%,good,No
Male,54,48,Video Games,30 - 60 minute,Anytime,Yes,75%,Bad,No
Male,83,76,Sports,1 - 2 Hour,Anytime,Yes,75%,good,Yes
Male,62,61.3,Cinema,0 - 30 minute,Night,Yes,100%,Bad,No
Male,60,65,Cinema,0 - 30 minute,Anytime,Yes,100%,Bad,No
Female,60,70,Cinema,30 - 60 minute,Anytime,Yes,100%,good,No
Male,65,65,Sports,30 - 60 minute,Anytime,Yes,75%,Bad,Yes
Male,65,70,Cinema,1 - 2 Hour,Morning,Yes,50%,Bad,No
Female,78,60,Cinema,1 - 2 Hour,Anytime,Yes,75%,good,No
Male,75,73.8,Video Games,1 - 2 Hour,Morning,Yes,50%,good,No
Male,75,60,Cinema,0 - 30 minute,Anytime,Yes,50%,good,No
Male,60,50,Sports,30 - 60 minute,Morning,Yes,75%,good,Yes
Male,90,90,Cinema,1 - 2 Hour,Anytime,Yes,50%,Bad,No
Male,73,85,Sports,0 - 30 minute,Morning,Yes,100%,good,No
Female,89,77,Sports,30 - 60 minute,Night,Yes,100%,Bad,Yes
Female,94,94,Reading books,30 - 60 minute,Night,Yes,75%,Bad,No
Male,60,65,Sports,0 - 30 minute,Morning,Yes,75%,good,No
Male,78,60,Sports,30 - 60 minute,Anytime,Yes,100%,Bad,No
